[INFO 4:33:50 PM] miguelsolorio.symbols activated
[INFO 4:33:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:33:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:33:50 PM] symbols.files.associations changed, updating to undefined
[INFO 4:33:53 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:33:53 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:33:53 PM] symbols.files.associations changed, updating to undefined
[INFO 4:34:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:34:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:34:17 PM] symbols.files.associations changed, updating to undefined
[INFO 4:34:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:34:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:34:22 PM] symbols.files.associations changed, updating to undefined
[INFO 4:34:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:34:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:34:27 PM] symbols.files.associations changed, updating to undefined
