[INFO 5:20:44 PM] miguelsolorio.symbols activated
[INFO 5:20:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:20:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:20:44 PM] symbols.files.associations changed, updating to undefined
[INFO 5:28:30 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:28:30 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:28:30 PM] symbols.files.associations changed, updating to undefined
[INFO 5:28:31 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:28:31 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:28:31 PM] symbols.files.associations changed, updating to undefined
[INFO 5:29:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:29:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:29:41 PM] symbols.files.associations changed, updating to undefined
[INFO 5:30:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:30:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:30:58 PM] symbols.files.associations changed, updating to undefined
