[INFO 3:05:46 PM] miguelsolorio.symbols activated
[INFO 3:05:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:05:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:05:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:05:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:05:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:05:47 PM] symbols.files.associations changed, updating to undefined
[INFO 3:06:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:06:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:06:14 PM] symbols.files.associations changed, updating to undefined
