[INFO 3:46:08 PM] miguelsolorio.symbols activated
[INFO 3:46:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:08 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:09 PM] symbols.files.associations changed, updating to undefined
[INFO 3:46:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:46:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:46:14 PM] symbols.files.associations changed, updating to undefined
[INFO 3:48:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:48:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:48:52 PM] symbols.files.associations changed, updating to undefined
