[INFO 12:29:42 PM] miguelsolorio.symbols activated
[INFO 12:29:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:29:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:29:42 PM] symbols.files.associations changed, updating to undefined
[INFO 12:29:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:29:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:29:47 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:10 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:11 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:14 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:15 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:31 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:31 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:31 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:40 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:44 PM] symbols.files.associations changed, updating to undefined
[INFO 12:30:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:45 PM] symbols.files.associations changed, updating to undefined
