[INFO 6:37:40 PM] miguelsolorio.symbols activated
[INFO 6:37:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:37:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:37:40 PM] symbols.files.associations changed, updating to undefined
[INFO 6:41:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:41:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:41:18 PM] symbols.files.associations changed, updating to undefined
[INFO 6:41:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:41:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:41:59 PM] symbols.files.associations changed, updating to undefined
[INFO 6:46:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:46:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:46:39 PM] symbols.files.associations changed, updating to undefined
[INFO 6:48:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:48:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:48:20 PM] symbols.files.associations changed, updating to undefined
[INFO 6:52:30 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:52:30 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:52:30 PM] symbols.files.associations changed, updating to undefined
[INFO 6:52:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 6:52:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 6:52:37 PM] symbols.files.associations changed, updating to undefined
