[INFO 8:41:36 PM] miguelsolorio.symbols activated
[INFO 8:41:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:41:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:41:36 PM] symbols.files.associations changed, updating to undefined
[INFO 8:45:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:45:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:45:52 PM] symbols.files.associations changed, updating to undefined
[INFO 8:46:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:46:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:46:42 PM] symbols.files.associations changed, updating to undefined
[INFO 8:48:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:48:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:48:22 PM] symbols.files.associations changed, updating to undefined
[INFO 8:52:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:52:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:52:24 PM] symbols.files.associations changed, updating to undefined
