[INFO 3:06:17 PM] miguelsolorio.symbols activated
[INFO 3:06:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:06:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:06:17 PM] symbols.files.associations changed, updating to undefined
[INFO 3:06:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:06:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:06:18 PM] symbols.files.associations changed, updating to undefined
[INFO 3:06:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:06:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:06:54 PM] symbols.files.associations changed, updating to undefined
[INFO 3:10:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:10:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:10:55 PM] symbols.files.associations changed, updating to undefined
[INFO 3:11:30 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:11:30 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:11:30 PM] symbols.files.associations changed, updating to undefined
[INFO 3:12:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:12:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:12:40 PM] symbols.files.associations changed, updating to undefined
[INFO 3:13:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:13:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:13:10 PM] symbols.files.associations changed, updating to undefined
[INFO 3:13:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:13:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:13:25 PM] symbols.files.associations changed, updating to undefined
