[INFO 8:25:08 AM] miguelsolorio.symbols activated
[INFO 8:25:08 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:08 AM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:08 AM] symbols.files.associations changed, updating to undefined
[INFO 8:25:09 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:09 AM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:09 AM] symbols.files.associations changed, updating to undefined
[INFO 8:34:54 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:34:54 AM] symbols.folders.associations changed, updating to undefined
[INFO 8:34:54 AM] symbols.files.associations changed, updating to undefined
[INFO 9:07:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:07:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:07:26 AM] symbols.files.associations changed, updating to undefined
[INFO 9:08:43 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:08:43 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:08:43 AM] symbols.files.associations changed, updating to undefined
[INFO 9:11:23 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:11:23 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:11:23 AM] symbols.files.associations changed, updating to undefined
[INFO 9:11:28 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:11:28 AM] symbols.folders.associations changed, updating to undefined
[INFO 9:11:28 AM] symbols.files.associations changed, updating to undefined
