[INFO 3:45:51 PM] miguelsolorio.symbols activated
[INFO 3:45:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:45:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:45:51 PM] symbols.files.associations changed, updating to undefined
[INFO 3:45:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:45:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:45:52 PM] symbols.files.associations changed, updating to undefined
[INFO 3:45:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:45:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:45:52 PM] symbols.files.associations changed, updating to undefined
