[INFO 4:43:20 PM] miguelsolorio.symbols activated
[INFO 4:43:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:43:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:43:20 PM] symbols.files.associations changed, updating to undefined
[INFO 4:43:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:43:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:43:41 PM] symbols.files.associations changed, updating to undefined
[INFO 4:45:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:45:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:45:38 PM] symbols.files.associations changed, updating to undefined
[INFO 4:46:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:46:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:46:52 PM] symbols.files.associations changed, updating to undefined
[INFO 4:47:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:47:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:47:02 PM] symbols.files.associations changed, updating to undefined
[INFO 4:54:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:54:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:54:50 PM] symbols.files.associations changed, updating to undefined
[INFO 4:54:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:54:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:54:54 PM] symbols.files.associations changed, updating to undefined
