[INFO 4:34:59 PM] miguelsolorio.symbols activated
[INFO 4:34:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:34:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:34:59 PM] symbols.files.associations changed, updating to undefined
[INFO 4:35:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:35:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:35:21 PM] symbols.files.associations changed, updating to undefined
[INFO 4:36:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:36:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:36:17 PM] symbols.files.associations changed, updating to undefined
