[INFO 2:24:57 PM] miguelsolorio.symbols activated
[INFO 2:24:57 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:24:57 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:24:57 PM] symbols.files.associations changed, updating to undefined
[INFO 2:25:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:25:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:25:59 PM] symbols.files.associations changed, updating to undefined
[INFO 2:29:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:29:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:29:08 PM] symbols.files.associations changed, updating to undefined
[INFO 2:30:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:30:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:30:18 PM] symbols.files.associations changed, updating to undefined
[INFO 2:32:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:32:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:32:38 PM] symbols.files.associations changed, updating to undefined
[INFO 2:41:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:41:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:41:18 PM] symbols.files.associations changed, updating to undefined
[INFO 2:46:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:46:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:46:32 PM] symbols.files.associations changed, updating to undefined
