[INFO 4:41:33 PM] miguelsolorio.symbols activated
[INFO 4:41:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:41:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:41:33 PM] symbols.files.associations changed, updating to undefined
[INFO 4:41:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:41:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:41:42 PM] symbols.files.associations changed, updating to undefined
[INFO 4:41:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:41:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:41:46 PM] symbols.files.associations changed, updating to undefined
