[INFO 12:38:28 PM] miguelsolorio.symbols activated
[INFO 12:38:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:38:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:38:28 PM] symbols.files.associations changed, updating to undefined
[INFO 12:57:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:57:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:57:35 PM] symbols.files.associations changed, updating to undefined
[INFO 12:59:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:59:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 12:59:07 PM] symbols.files.associations changed, updating to undefined
[INFO 1:00:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:00:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:00:17 PM] symbols.files.associations changed, updating to undefined
[INFO 1:01:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:59 PM] symbols.files.associations changed, updating to undefined
[INFO 1:09:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:09:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:09:39 PM] symbols.files.associations changed, updating to undefined
[INFO 1:09:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:09:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:09:55 PM] symbols.files.associations changed, updating to undefined
[INFO 1:14:05 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:14:05 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:14:05 PM] symbols.files.associations changed, updating to undefined
[INFO 1:14:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:14:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:14:16 PM] symbols.files.associations changed, updating to undefined
[INFO 1:24:56 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:24:56 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:24:56 PM] symbols.files.associations changed, updating to undefined
[INFO 2:45:22 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:45:22 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:45:22 PM] symbols.files.associations changed, updating to undefined
[INFO 2:46:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:46:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:46:32 PM] symbols.files.associations changed, updating to undefined
[INFO 2:48:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:48:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:48:09 PM] symbols.files.associations changed, updating to undefined
[INFO 2:55:19 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:55:19 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:55:19 PM] symbols.files.associations changed, updating to undefined
[INFO 2:56:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 2:56:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 2:56:01 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:47 PM] symbols.files.associations changed, updating to undefined
[INFO 3:00:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:00:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:00:48 PM] symbols.files.associations changed, updating to undefined
[INFO 3:09:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:09:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:09:50 PM] symbols.files.associations changed, updating to undefined
[INFO 3:10:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:10:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:10:03 PM] symbols.files.associations changed, updating to undefined
[INFO 3:15:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:15:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:15:13 PM] symbols.files.associations changed, updating to undefined
[INFO 3:21:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:21:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:21:06 PM] symbols.files.associations changed, updating to undefined
[INFO 3:26:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:26:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 3:26:46 PM] symbols.files.associations changed, updating to undefined
[INFO 3:27:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 3:27:23 PM] symbols.folders.associations changed, updating to undefined
