[INFO 8:23:35 PM] miguelsolorio.symbols activated
[INFO 8:23:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:23:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:23:35 PM] symbols.files.associations changed, updating to undefined
[INFO 8:23:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:23:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:23:36 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:25 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:30 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:30 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:30 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:58 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:01 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:07 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:17 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:17 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:17 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:32 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:41 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:55 PM] symbols.files.associations changed, updating to undefined
[INFO 8:26:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:26:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:26:44 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:43 PM] symbols.files.associations changed, updating to undefined
[INFO 8:31:53 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:31:53 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:31:53 PM] symbols.files.associations changed, updating to undefined
