[INFO 8:24:27 PM] miguelsolorio.symbols activated
[INFO 8:24:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:27 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:28 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:55 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:58 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:02 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:11 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:25 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:37 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:45 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:45 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:45 PM] symbols.files.associations changed, updating to undefined
